text,label
WHO publishes new global vaccination guidelines,1
NASA confirms water on Mars after rover analysis,1
Election commission announces verified voting results,1
UN releases annual climate change report,1
Celebrity claims eating only bananas cures all diseases,0
NASA confirms water on Mars after rover analysis,1
UN releases annual climate change report,1
NASA confirms water on Mars after rover analysis,1
UN releases annual climate change report,1
Celebrity claims eating only bananas cures all diseases,0
NASA confirms water on Mars after rover analysis,1
Celebrity claims eating only bananas cures all diseases,0
UN releases annual climate change report,1
NASA confirms water on Mars after rover analysis,1
UN releases annual climate change report,1
Researchers publish peer-reviewed study on renewable energy,1
Government gives free money to all citizens overnight,0
UN releases annual climate change report,1
UN releases annual climate change report,1
Government gives free money to all citizens overnight,0
Researchers publish peer-reviewed study on renewable energy,1
Celebrity claims eating only bananas cures all diseases,0
Celebrity claims eating only bananas cures all diseases,0
NASA confirms water on Mars after rover analysis,1
Mobile towers cause instant death according to viral news,0
Celebrity claims eating only bananas cures all diseases,0
Humans can survive without water for a year claims unknown article,0
Researchers publish peer-reviewed study on renewable energy,1
NASA confirms water on Mars after rover analysis,1
WHO publishes new global vaccination guidelines,1
Celebrity claims eating only bananas cures all diseases,0
Aliens will invade Earth next month says viral post,0
Election commission announces verified voting results,1
Mobile towers cause instant death according to viral news,0
Aliens will invade Earth next month says viral post,0
Celebrity claims eating only bananas cures all diseases,0
UN releases annual climate change report,1
WHO publishes new global vaccination guidelines,1
NASA confirms water on Mars after rover analysis,1
Government gives free money to all citizens overnight,0
Humans can survive without water for a year claims unknown article,0
Mobile towers cause instant death according to viral news,0
Celebrity claims eating only bananas cures all diseases,0
Election commission announces verified voting results,1
Humans can survive without water for a year claims unknown article,0
Humans can survive without water for a year claims unknown article,0
UN releases annual climate change report,1
Election commission announces verified voting results,1
Humans can survive without water for a year claims unknown article,0
Election commission announces verified voting results,1
WHO publishes new global vaccination guidelines,1
WHO publishes new global vaccination guidelines,1
Celebrity claims eating only bananas cures all diseases,0
Election commission announces verified voting results,1
Celebrity claims eating only bananas cures all diseases,0
Aliens will invade Earth next month says viral post,0
Researchers publish peer-reviewed study on renewable energy,1
Mobile towers cause instant death according to viral news,0
Government gives free money to all citizens overnight,0
Researchers publish peer-reviewed study on renewable energy,1
Government gives free money to all citizens overnight,0
Celebrity claims eating only bananas cures all diseases,0
Researchers publish peer-reviewed study on renewable energy,1
Aliens will invade Earth next month says viral post,0
Election commission announces verified voting results,1
Election commission announces verified voting results,1
Researchers publish peer-reviewed study on renewable energy,1
WHO publishes new global vaccination guidelines,1
Aliens will invade Earth next month says viral post,0
Researchers publish peer-reviewed study on renewable energy,1
Mobile towers cause instant death according to viral news,0
Aliens will invade Earth next month says viral post,0
Election commission announces verified voting results,1
Researchers publish peer-reviewed study on renewable energy,1
Humans can survive without water for a year claims unknown article,0
Government gives free money to all citizens overnight,0
WHO publishes new global vaccination guidelines,1
Aliens will invade Earth next month says viral post,0
Researchers publish peer-reviewed study on renewable energy,1
Humans can survive without water for a year claims unknown article,0
UN releases annual climate change report,1
Celebrity claims eating only bananas cures all diseases,0
Government gives free money to all citizens overnight,0
Aliens will invade Earth next month says viral post,0
Aliens will invade Earth next month says viral post,0
Election commission announces verified voting results,1
UN releases annual climate change report,1
Election commission announces verified voting results,1
Researchers publish peer-reviewed study on renewable energy,1
Celebrity claims eating only bananas cures all diseases,0
Aliens will invade Earth next month says viral post,0
Mobile towers cause instant death according to viral news,0
Election commission announces verified voting results,1
Mobile towers cause instant death according to viral news,0
WHO publishes new global vaccination guidelines,1
Government gives free money to all citizens overnight,0
UN releases annual climate change report,1
Aliens will invade Earth next month says viral post,0
Aliens will invade Earth next month says viral post,0
Election commission announces verified voting results,1
Election commission announces verified voting results,1
Celebrity claims eating only bananas cures all diseases,0
UN releases annual climate change report,1
Mobile towers cause instant death according to viral news,0
Election commission announces verified voting results,1
NASA confirms water on Mars after rover analysis,1
UN releases annual climate change report,1
Election commission announces verified voting results,1
Government gives free money to all citizens overnight,0
Election commission announces verified voting results,1
NASA confirms water on Mars after rover analysis,1
WHO publishes new global vaccination guidelines,1
Election commission announces verified voting results,1
Researchers publish peer-reviewed study on renewable energy,1
Aliens will invade Earth next month says viral post,0
Mobile towers cause instant death according to viral news,0
Aliens will invade Earth next month says viral post,0
UN releases annual climate change report,1
NASA confirms water on Mars after rover analysis,1
Celebrity claims eating only bananas cures all diseases,0
Election commission announces verified voting results,1
Mobile towers cause instant death according to viral news,0
UN releases annual climate change report,1
Government gives free money to all citizens overnight,0
Humans can survive without water for a year claims unknown article,0
WHO publishes new global vaccination guidelines,1
NASA confirms water on Mars after rover analysis,1
Aliens will invade Earth next month says viral post,0
UN releases annual climate change report,1
NASA confirms water on Mars after rover analysis,1
Researchers publish peer-reviewed study on renewable energy,1
WHO publishes new global vaccination guidelines,1
Aliens will invade Earth next month says viral post,0
Election commission announces verified voting results,1
Election commission announces verified voting results,1
Government gives free money to all citizens overnight,0
Government gives free money to all citizens overnight,0
Humans can survive without water for a year claims unknown article,0
Humans can survive without water for a year claims unknown article,0
Humans can survive without water for a year claims unknown article,0
Mobile towers cause instant death according to viral news,0
Humans can survive without water for a year claims unknown article,0
NASA confirms water on Mars after rover analysis,1
Government gives free money to all citizens overnight,0
Election commission announces verified voting results,1
UN releases annual climate change report,1
Election commission announces verified voting results,1
Celebrity claims eating only bananas cures all diseases,0
NASA confirms water on Mars after rover analysis,1
Mobile towers cause instant death according to viral news,0
WHO publishes new global vaccination guidelines,1
Government gives free money to all citizens overnight,0
Election commission announces verified voting results,1
Aliens will invade Earth next month says viral post,0
Researchers publish peer-reviewed study on renewable energy,1
Mobile towers cause instant death according to viral news,0
Aliens will invade Earth next month says viral post,0
Election commission announces verified voting results,1
Celebrity claims eating only bananas cures all diseases,0
Election commission announces verified voting results,1
Election commission announces verified voting results,1
WHO publishes new global vaccination guidelines,1
NASA confirms water on Mars after rover analysis,1
Researchers publish peer-reviewed study on renewable energy,1
NASA confirms water on Mars after rover analysis,1
Researchers publish peer-reviewed study on renewable energy,1
Celebrity claims eating only bananas cures all diseases,0
Researchers publish peer-reviewed study on renewable energy,1
Mobile towers cause instant death according to viral news,0
Celebrity claims eating only bananas cures all diseases,0
Aliens will invade Earth next month says viral post,0
Mobile towers cause instant death according to viral news,0
Celebrity claims eating only bananas cures all diseases,0
WHO publishes new global vaccination guidelines,1
Government gives free money to all citizens overnight,0
Government gives free money to all citizens overnight,0
Celebrity claims eating only bananas cures all diseases,0
Mobile towers cause instant death according to viral news,0
UN releases annual climate change report,1
WHO publishes new global vaccination guidelines,1
Mobile towers cause instant death according to viral news,0
UN releases annual climate change report,1
Government gives free money to all citizens overnight,0
WHO publishes new global vaccination guidelines,1
WHO publishes new global vaccination guidelines,1
Mobile towers cause instant death according to viral news,0
Celebrity claims eating only bananas cures all diseases,0
Aliens will invade Earth next month says viral post,0
NASA confirms water on Mars after rover analysis,1
WHO publishes new global vaccination guidelines,1
Researchers publish peer-reviewed study on renewable energy,1
Researchers publish peer-reviewed study on renewable energy,1
Researchers publish peer-reviewed study on renewable energy,1
Government gives free money to all citizens overnight,0
Celebrity claims eating only bananas cures all diseases,0
Mobile towers cause instant death according to viral news,0
Government gives free money to all citizens overnight,0
Celebrity claims eating only bananas cures all diseases,0
Researchers publish peer-reviewed study on renewable energy,1
Mobile towers cause instant death according to viral news,0
Mobile towers cause instant death according to viral news,0
Researchers publish peer-reviewed study on renewable energy,1
Election commission announces verified voting results,1
Researchers publish peer-reviewed study on renewable energy,1
Researchers publish peer-reviewed study on renewable energy,1
Election commission announces verified voting results,1
Government gives free money to all citizens overnight,0
Election commission announces verified voting results,1
Mobile towers cause instant death according to viral news,0
NASA confirms water on Mars after rover analysis,1
Aliens will invade Earth next month says viral post,0
Celebrity claims eating only bananas cures all diseases,0
NASA confirms water on Mars after rover analysis,1
Researchers publish peer-reviewed study on renewable energy,1
NASA confirms water on Mars after rover analysis,1
Aliens will invade Earth next month says viral post,0
NASA confirms water on Mars after rover analysis,1
Government gives free money to all citizens overnight,0
UN releases annual climate change report,1
Researchers publish peer-reviewed study on renewable energy,1
Humans can survive without water for a year claims unknown article,0
NASA confirms water on Mars after rover analysis,1
NASA confirms water on Mars after rover analysis,1
Humans can survive without water for a year claims unknown article,0
NASA confirms water on Mars after rover analysis,1
Aliens will invade Earth next month says viral post,0
UN releases annual climate change report,1
Humans can survive without water for a year claims unknown article,0
Researchers publish peer-reviewed study on renewable energy,1
WHO publishes new global vaccination guidelines,1
Aliens will invade Earth next month says viral post,0
UN releases annual climate change report,1
Humans can survive without water for a year claims unknown article,0
WHO publishes new global vaccination guidelines,1
Celebrity claims eating only bananas cures all diseases,0
Aliens will invade Earth next month says viral post,0
Mobile towers cause instant death according to viral news,0
Researchers publish peer-reviewed study on renewable energy,1
Aliens will invade Earth next month says viral post,0
Celebrity claims eating only bananas cures all diseases,0
Celebrity claims eating only bananas cures all diseases,0
Government gives free money to all citizens overnight,0
WHO publishes new global vaccination guidelines,1
NASA confirms water on Mars after rover analysis,1
Humans can survive without water for a year claims unknown article,0
Celebrity claims eating only bananas cures all diseases,0
Aliens will invade Earth next month says viral post,0
Mobile towers cause instant death according to viral news,0
Celebrity claims eating only bananas cures all diseases,0
Celebrity claims eating only bananas cures all diseases,0
Aliens will invade Earth next month says viral post,0
Researchers publish peer-reviewed study on renewable energy,1
NASA confirms water on Mars after rover analysis,1
NASA confirms water on Mars after rover analysis,1
Mobile towers cause instant death according to viral news,0
Humans can survive without water for a year claims unknown article,0
Election commission announces verified voting results,1
Researchers publish peer-reviewed study on renewable energy,1
Election commission announces verified voting results,1
Celebrity claims eating only bananas cures all diseases,0
Researchers publish peer-reviewed study on renewable energy,1
Humans can survive without water for a year claims unknown article,0
Celebrity claims eating only bananas cures all diseases,0
Mobile towers cause instant death according to viral news,0
Celebrity claims eating only bananas cures all diseases,0
Researchers publish peer-reviewed study on renewable energy,1
Election commission announces verified voting results,1
Humans can survive without water for a year claims unknown article,0
UN releases annual climate change report,1
Government gives free money to all citizens overnight,0
Mobile towers cause instant death according to viral news,0
Mobile towers cause instant death according to viral news,0
UN releases annual climate change report,1
Humans can survive without water for a year claims unknown article,0
Election commission announces verified voting results,1
Humans can survive without water for a year claims unknown article,0
Celebrity claims eating only bananas cures all diseases,0
UN releases annual climate change report,1
Celebrity claims eating only bananas cures all diseases,0
WHO publishes new global vaccination guidelines,1
Researchers publish peer-reviewed study on renewable energy,1
WHO publishes new global vaccination guidelines,1
Celebrity claims eating only bananas cures all diseases,0
Celebrity claims eating only bananas cures all diseases,0
Celebrity claims eating only bananas cures all diseases,0
Researchers publish peer-reviewed study on renewable energy,1
Humans can survive without water for a year claims unknown article,0
Humans can survive without water for a year claims unknown article,0
Mobile towers cause instant death according to viral news,0
Researchers publish peer-reviewed study on renewable energy,1
NASA confirms water on Mars after rover analysis,1
UN releases annual climate change report,1
NASA confirms water on Mars after rover analysis,1
Aliens will invade Earth next month says viral post,0
Government gives free money to all citizens overnight,0
Aliens will invade Earth next month says viral post,0
NASA confirms water on Mars after rover analysis,1
Government gives free money to all citizens overnight,0
Humans can survive without water for a year claims unknown article,0
Aliens will invade Earth next month says viral post,0
Researchers publish peer-reviewed study on renewable energy,1
Aliens will invade Earth next month says viral post,0
Humans can survive without water for a year claims unknown article,0
Celebrity claims eating only bananas cures all diseases,0
Researchers publish peer-reviewed study on renewable energy,1
UN releases annual climate change report,1
Aliens will invade Earth next month says viral post,0
NASA confirms water on Mars after rover analysis,1
Election commission announces verified voting results,1
UN releases annual climate change report,1
UN releases annual climate change report,1
WHO publishes new global vaccination guidelines,1
Election commission announces verified voting results,1
Election commission announces verified voting results,1
Humans can survive without water for a year claims unknown article,0
